uf;anomes;valor;regiao
Rondônia;200801;1388528.39;Norte
Acre;200801;902416.0;Norte
Amazonas;200801;4735529.42;Norte
Roraima;200801;657889.53;Norte
Pará;200801;18864744.11;Norte
Amapá;200801;1120973.34;Norte
Tocantins;200801;3441592.69;Norte
Maranhão;200801;10723506.39;Nordeste
Piauí;200801;7985142.43;Nordeste
Ceará;200801;15539821.9;Nordeste
Rio Grande do Norte;200801;5947814.08;Nordeste
Paraíba;200801;10723002.45;Nordeste
Pernambuco;200801;14393949.89;Nordeste
Alagoas;200801;6243726.32;Nordeste
Sergipe;200801;2780750.11;Nordeste
Bahia;200801;21211522.47;Nordeste
Minas Gerais;200801;45671659.76;Sudeste
Espírito Santo;200801;5456723.98;Sudeste
Rio de Janeiro;200801;23025258.52;Sudeste
São Paulo;200801;91678473.48;Sudeste
Paraná;200801;38266347.46;Sul
Santa Catarina;200801;16504913.45;Sul
Rio Grande do Sul;200801;30931325.46;Sul
Mato Grosso do Sul;200801;5377392.11;Centro-Oeste
Mato Grosso;200801;4795299.01;Centro-Oeste
Goiás;200801;15310637.29;Centro-Oeste
Distrito Federal;200801;4745919.19;Centro-Oeste
Rondônia;200802;2931283.42;Norte
Acre;200802;1497206.26;Norte
Amazonas;200802;7118990.57;Norte
Roraima;200802;777939.31;Norte
Pará;200802;19553758.2;Norte
Amapá;200802;1268740.33;Norte
Tocantins;200802;4985688.85;Norte
Maranhão;200802;13559679.41;Nordeste
Piauí;200802;10079928.25;Nordeste
Ceará;200802;25735101.55;Nordeste
Rio Grande do Norte;200802;9509755.83;Nordeste
Paraíba;200802;11386274.47;Nordeste
Pernambuco;200802;24181400.95;Nordeste
Alagoas;200802;8376622.16;Nordeste
Sergipe;200802;3676483.16;Nordeste
Bahia;200802;28189304.95;Nordeste
Minas Gerais;200802;70194037.1;Sudeste
Espírito Santo;200802;9102212.86;Sudeste
Rio de Janeiro;200802;28394310.93;Sudeste
São Paulo;200802;148677526.82;Sudeste
Paraná;200802;55384670.52;Sul
Santa Catarina;200802;25651429.11;Sul
Rio Grande do Sul;200802;57363420.01;Sul
Mato Grosso do Sul;200802;7002472.61;Centro-Oeste
Mato Grosso;200802;8684882.23;Centro-Oeste
Goiás;200802;22258668.68;Centro-Oeste
Distrito Federal;200802;7632480.67;Centro-Oeste
Rondônia;200803;1541682.52;Norte
Acre;200803;1794028.48;Norte
Amazonas;200803;8196635.49;Norte
Roraima;200803;718688.03;Norte
Pará;200803;21937342.7;Norte
Amapá;200803;974651.24;Norte
Tocantins;200803;6205612.6;Norte
Maranhão;200803;13985142.36;Nordeste
Piauí;200803;10298372.45;Nordeste
Ceará;200803;28724625.75;Nordeste
Rio Grande do Norte;200803;10352238.59;Nordeste
Paraíba;200803;12053643.87;Nordeste
Pernambuco;200803;29991302.71;Nordeste
Alagoas;200803;8408336.22;Nordeste
Sergipe;200803;5051473.61;Nordeste
Bahia;200803;34181483.52;Nordeste
Minas Gerais;200803;79231336.95;Sudeste
Espírito Santo;200803;10249595.97;Sudeste
Rio de Janeiro;200803;44567062.94;Sudeste
São Paulo;200803;156087269.23;Sudeste
Paraná;200803;53801318.85;Sul
Santa Catarina;200803;26743524.89;Sul
Rio Grande do Sul;200803;51547794.07;Sul
Mato Grosso do Sul;200803;8423933.19;Centro-Oeste
Mato Grosso;200803;7886243.14;Centro-Oeste
Goiás;200803;21442515.75;Centro-Oeste
Distrito Federal;200803;9647203.26;Centro-Oeste
Rondônia;200804;1525314.96;Norte
Acre;200804;1730469.42;Norte
Amazonas;200804;8259378.42;Norte
Roraima;200804;839994.39;Norte
Pará;200804;20842829.69;Norte
Amapá;200804;1141137.32;Norte
Tocantins;200804;4984482.09;Norte
Maranhão;200804;14809416.46;Nordeste
Piauí;200804;10775976.33;Nordeste
Ceará;200804;30676457.06;Nordeste
Rio Grande do Norte;200804;10855108.5;Nordeste
Paraíba;200804;12653528.76;Nordeste
Pernambuco;200804;34806197.97;Nordeste
Alagoas;200804;9090794.82;Nordeste
Sergipe;200804;5046063.36;Nordeste
Bahia;200804;39026934.13;Nordeste
Minas Gerais;200804;77136537.58;Sudeste
Espírito Santo;200804;11253833.56;Sudeste
Rio de Janeiro;200804;44054604.82;Sudeste
São Paulo;200804;161227125.43;Sudeste
Paraná;200804;52460306.69;Sul
Santa Catarina;200804;27181488.26;Sul
Rio Grande do Sul;200804;56673338.49;Sul
Mato Grosso do Sul;200804;8797487.68;Centro-Oeste
Mato Grosso;200804;8794109.79;Centro-Oeste
Goiás;200804;20921212.45;Centro-Oeste
Distrito Federal;200804;11098732.99;Centro-Oeste
Rondônia;200805;1645953.84;Norte
Acre;200805;1819443.92;Norte
Amazonas;200805;7831399.9;Norte
Roraima;200805;862347.96;Norte
Pará;200805;23249952.88;Norte
Amapá;200805;866346.18;Norte
Tocantins;200805;5511002.46;Norte
Maranhão;200805;14505727.38;Nordeste
Piauí;200805;10398360.88;Nordeste
Ceará;200805;30604453.47;Nordeste
Rio Grande do Norte;200805;11160168.19;Nordeste
Paraíba;200805;12215107.11;Nordeste
Pernambuco;200805;32147987.35;Nordeste
Alagoas;200805;9338771.45;Nordeste
Sergipe;200805;4741151.56;Nordeste
Bahia;200805;42949566.82;Nordeste
Minas Gerais;200805;80554440.63;Sudeste
Espírito Santo;200805;10198619.17;Sudeste
Rio de Janeiro;200805;44911021.15;Sudeste
São Paulo;200805;187119397.64;Sudeste
Paraná;200805;54419620.71;Sul
Santa Catarina;200805;26845308.18;Sul
Rio Grande do Sul;200805;48397733.07;Sul
Mato Grosso do Sul;200805;9770421.8;Centro-Oeste
Mato Grosso;200805;9231645.4;Centro-Oeste
Goiás;200805;21615970.67;Centro-Oeste
Distrito Federal;200805;12891719.72;Centro-Oeste
Rondônia;200806;1406150.68;Norte
Acre;200806;1828496.0;Norte
Amazonas;200806;8477273.62;Norte
Roraima;200806;832440.66;Norte
Pará;200806;23240687.56;Norte
Amapá;200806;1440978.95;Norte
Tocantins;200806;4927934.22;Norte
Maranhão;200806;14908091.32;Nordeste
Piauí;200806;10528253.88;Nordeste
Ceará;200806;31272395.18;Nordeste
Rio Grande do Norte;200806;10475071.38;Nordeste
Paraíba;200806;12256928.49;Nordeste
Pernambuco;200806;32239094.89;Nordeste
Alagoas;200806;10068210.08;Nordeste
Sergipe;200806;5401259.63;Nordeste
Bahia;200806;47025972.04;Nordeste
Minas Gerais;200806;94758522.83;Sudeste
Espírito Santo;200806;13364258.29;Sudeste
Rio de Janeiro;200806;48056212.24;Sudeste
São Paulo;200806;187291126.07;Sudeste
Paraná;200806;57811688.48;Sul
Santa Catarina;200806;29909762.04;Sul
Rio Grande do Sul;200806;52413429.62;Sul
Mato Grosso do Sul;200806;10905392.18;Centro-Oeste
Mato Grosso;200806;10221763.77;Centro-Oeste
Goiás;200806;18270043.87;Centro-Oeste
Distrito Federal;200806;12850125.67;Centro-Oeste
Rondônia;200807;3065279.01;Norte
Acre;200807;2511754.59;Norte
Amazonas;200807;9368858.72;Norte
Roraima;200807;996693.09;Norte
Pará;200807;24002223.56;Norte
Amapá;200807;1426659.48;Norte
Tocantins;200807;5445602.28;Norte
Maranhão;200807;15784899.4;Nordeste
Piauí;200807;11040107.92;Nordeste
Ceará;200807;30925391.36;Nordeste
Rio Grande do Norte;200807;11386349.96;Nordeste
Paraíba;200807;12755413.77;Nordeste
Pernambuco;200807;32685640.76;Nordeste
Alagoas;200807;9887061.61;Nordeste
Sergipe;200807;5521904.44;Nordeste
Bahia;200807;47481695.17;Nordeste
Minas Gerais;200807;85360064.11;Sudeste
Espírito Santo;200807;13035374.08;Sudeste
Rio de Janeiro;200807;49872379.35;Sudeste
São Paulo;200807;194398399.48;Sudeste
Paraná;200807;58094241.83;Sul
Santa Catarina;200807;30789135.84;Sul
Rio Grande do Sul;200807;56636376.98;Sul
Mato Grosso do Sul;200807;10249299.82;Centro-Oeste
Mato Grosso;200807;9163314.28;Centro-Oeste
Goiás;200807;20540517.13;Centro-Oeste
Distrito Federal;200807;12565646.74;Centro-Oeste
Rondônia;200808;3231494.61;Norte
Acre;200808;2089107.14;Norte
Amazonas;200808;9352532.7;Norte
Roraima;200808;894271.18;Norte
Pará;200808;23341218.03;Norte
Amapá;200808;1475551.38;Norte
Tocantins;200808;5413710.38;Norte
Maranhão;200808;15195312.89;Nordeste
Piauí;200808;10549176.4;Nordeste
Ceará;200808;27851438.72;Nordeste
Rio Grande do Norte;200808;10640817.47;Nordeste
Paraíba;200808;12872578.37;Nordeste
Pernambuco;200808;35457038.66;Nordeste
Alagoas;200808;9373432.0;Nordeste
Sergipe;200808;5238398.5;Nordeste
Bahia;200808;46931248.28;Nordeste
Minas Gerais;200808;84722528.1;Sudeste
Espírito Santo;200808;12588595.77;Sudeste
Rio de Janeiro;200808;50912706.6;Sudeste
São Paulo;200808;184854516.35;Sudeste
Paraná;200808;56982774.9;Sul
Santa Catarina;200808;31250854.33;Sul
Rio Grande do Sul;200808;56113054.7;Sul
Mato Grosso do Sul;200808;9671553.45;Centro-Oeste
Mato Grosso;200808;9243148.81;Centro-Oeste
Goiás;200808;20650730.67;Centro-Oeste
Distrito Federal;200808;13710857.89;Centro-Oeste
Rondônia;200809;3117178.63;Norte
Acre;200809;2275708.53;Norte
Amazonas;200809;9363099.35;Norte
Roraima;200809;910424.17;Norte
Pará;200809;25172261.32;Norte
Amapá;200809;1651341.43;Norte
Tocantins;200809;5596669.5;Norte
Maranhão;200809;14951277.75;Nordeste
Piauí;200809;10899198.97;Nordeste
Ceará;200809;30362719.9;Nordeste
Rio Grande do Norte;200809;11336030.28;Nordeste
